ID	sample_number	depth	depth_to	CaO (%)	MgO (%)	Al2O3 (%)	SiO2 (%)	delta13C [permil]	delta18O [permil]	Cl (%)	Dry density (kg/m3)	Fe2O3 (%)	FeO (%)	Grain density (kg/m3)	Insoluble Residue (%)	K2O (%)	LOI (%)	MnO (%)	Na2O (%)	P-wave velocity (m/sec in dry sample)	P-wave velocity (m/sec in wet sample)	P2O5 (%)	Porosity (%)	S (%)	SUM (%)	TiO2 (%)	Conochitina cucumis	Cyathochitina jagovalensis	Euconochitina primitiva	Desmochitina minor s.l.	Rhabdochitina gracilis	Lagenochitina esthonica	Cyathochitina calix	Euconochitina aff. symmetrica	Cyathochitina hunderumensis	Lagenochitina tumida s.l.	Desmochitina cocca	Desmochitina erinacea	Desmochitina ovulum	Calpichitina complanata	Cyathochitina cf. varennensis	Conochitina decipiens	Desmochitina piriformis	Cyathochitina campanulaeformis	Belonechitina sp. A	Angochitina sp. B	Desmochitina grandicolla	Desmochitina elongata	Belonechitina crinita	Desmochitina amphorea	Belonechitina micracantha	Belonechitina sp. 1 (prototuberculata)	Pistillachitina pistillifrons	Tanuchitina tallinnensis?	Baltochitina delicata	Belonechitina capitata	Desmochitina rugosa	Laufeldochitina striata	Cyathochitina sebyensis	Conochitina clavaherculi	Pterochitina retracta	Rhabdochitina magna	Belonechitina pellifera	Conochitina aff. dolosa	Cyathochitina kuckersiana	Baltochitina nolvaki	Belonechitina cactacea	Belonechitina synclinalis	Conochitina minnesotensis	Conochitina dolosa	Conochitina tuberculata	Pistillachitina elegans	Laufeldochitina stentor	Conochitina savalensis sp. nov.	Euconochitina conulus	Spinachitina suecica	Eisenackitina rhenana	Conochitina viruana sp. nov.	Desmochitina holosphaerica	Conochitina tigrina	Rhabdochitina sp. 2 (parallela)	Cyathochitina giraffa	Lagenochitina sp. A aff. capax	Armoricochitina granulifera	Lagenochitina dalbyensis	Pistillachitina sp. 1 (ex. gr. differens)	Belonechitina jaanussonii	Belonechitina hirsuta	Desmochitina nodosa	Spinachitina multiradiata	Spinachitina cervicornis	Belonechitina comma	Angochitina multiplex	Clavachitina sp. 1 (oanduensis)	Belonechitina robusta	Cyathochitina patagiata	Rhabdochitina sp. 1 (macilenta)	Spinachitina aff. coronata	Belonechitina micracantha barbata	Belonechitina villosa	Fungochitina spinifera	Cyathochitina angusta	Belonechitina wesenbergensis brevis	Armoricochitina reticulifera	Lagenochitina baltica	Cyathochitina sp. 3 (costellata)	Conochitina incerta	Cyathochitina aff. giraffa	Lagenochitina cylindrica	Angochitina capillata	Lagenochitina prussica	Belonechitina wesenbergensis elongata	Saharochitina fungiformis	Cyathochitina costata	Conochitina vormsiensis nom. nud.	Spinachitina coronata	Tanuchitina bergstroemi	Ancyrochitina ancyrea	Conochitina sp. 3 (lagenoformis)	Conochitina rugata	Tanuchitina anticostiensis	Ancyrochitina laevaensis	Plectochitina nodifera	Plectochitina spongiosa	Belonechitina aspera	Belonechitina postrobusta	Euconochitina electa	Conochitina iklaensis	Ancyrochitina bifurcaspina	Conochitina edjelensis	Ancyrochitina convexa	Conochitina elongata	Conochitina alargada	Rhabdochitina sp. 2 (Nestor et al., 2003)	Conochitina malleus	Belonechitina oeselensis	Ancyrochitina rumbaensis	Conochitina praeproboscifera	Conochitina emmastensis	Eisenackitina dolioliformis	Eisenackitina causiata 	Angochitina hansonica	Belonechitina cavei	Bursachitina conica	Conochitina leviscapulae	Rhabdochitina sp. (Loydell et al., 2005)	Ancyrochitina porrectaspina	Bursachitina nestorae	Conochitina leptosoma	Ancyrochitina mullinsi	Belonechitina meifodensis	Angochitina longicollis	Eisenackitina inanulifera	Conochitina proboscifera	Calpichitina densa	Plectochitina pachyderma	Ancyrochitina vikiensis	Ancyrochitina ansarviensis	Ramochitina ruhnuensis	Plectochitina magna	Margachitina banwyensis	Conochitina visbyensis	Ramochitina angusta	Conochitina acuminata	Anthochitina primula	Conochitina flamma	Margachitina margaritana	Ramochitina nestorae	Calpichitina opaca	Ancyrochitina digitata	Conochitina aff. tuba	Conochitina claviformis	Conochitina mamilla	Conochitina tuba	Clathrochitina clathrata	Conochitina aff. pachycephala	Eisenackitina spongiosa	Conochitina argillophila
102268	102268	105.15		31.75	6.185	4.97	17.33			0.03	2401	2.03	0.11	2705	23.8	1.87	32.55	0.045	0.07	3205	3437	0.03034	11.21	0.434	96.98334	0.238	0																																																																																																																																																								
59829	OM4-328	106.91	107.05	32.38	6.23	4.39	18.74					1.88				1.77	34.1	0.04	0.06			0.04				0.24	0																																																																																																																																																								
102269	102269	108.7		33.495	4.505	5.66	18.91			0.022		1.93	0.29		25.46	2.05	31.72	0.047	0.08			0.0324		0.266	98.3254	0.256	0																																																																																																																																																								
59828	OM4-327	108.73	108.87	37.69	4.27	3.61	14.77					2.17				1.45	35.6	0.04	0.06			0.05				0.19	0																																																																																																																																																								
59827	OM4-326	109.76	109.89	22.77	6.12	7.82	29.81					3.48				2.79	26.4	0.05	0.1			0.05				0.42	0																																																																																																																																																								
59826	OM4-325	110.73	110.84	26.21	6.06	6.38	26.08					2.71				2.37	29.5	0.05	0.08			0.04				0.35	0																																																																																																																																																								
59825	OM4-324	111.93	112	18.31	7.44	8.41	32.33					3.7				3.02	25.8	0.06	0.11			0.05				0.46	0																																																																																																																																																								
59824	OM4-323	112.78	112.89	16.32	7.13	9.32	35.04					3.87				3.28	24	0.06	0.11			0.04				0.5	0																																																																																																																																																								
59823	OM4-322	113.78	113.88	17.86	6.77	8.72	33.56					3.79				3.1	25.2	0.06	0.11			0.04				0.47	0																																																																																																																																																								
102270	102270	113.95		12.55	5.275	13.26	42.85			0.023		4.29	0.52		56.14	4.34	17.42	0.055	0.17			0.0735		0.534	100.2965	0.588	0																																																																																																																																																								
59822	OM4-321	114.6	114.86	31.02	5.25	5.32	21.02					2.78				2.03	31.9	0.07	0.07			0.03				0.28	0																																																																																																																																																								
78379	78379	115	115.05	0.57333	2.59333	25.22667	54.42			0.0345		1.726				7.63667		0.00202	0.34667			0.04867		0.4785	99.06667	0.722	0																																																																																																																																																								
59821	OM4-320	115.95	116.04	17.41	6.04	9.01	35.47					4.22				3.2	23.6	0.06	0.11			0.04				0.5	0																																																																																																																																																								
59820	OM4-319	117.92	118.05	14.05	6.05	10.85	39.79					4.44				3.62	20	0.06	0.13			0.08				0.58	0																																																																																																																																																								
102271	102271	118.9		23.395	16.245	4.9	14.79			0.042		1.44	0.19		18.92	1.65	37.05	0.027	0.03			0.0347		0.26	99.6797	0.198	0																																																																																																																																																								
59819	OM4-318	119.95	120.06	17.37	5.53	10.11	35.74					4.03				3.4	22.7	0.06	0.11			0.09				0.53	0																																																																																																																																																								
101898	101898	121.05		0.55	2.3	24	56.8					1.37				8.16		0.007	-0.3						98.6	0.72	0																																																																																																																																																								
59818	OM4-317	123.7	123.8	24.43	4.21	8.31	31.38					3.07				2.87	25	0.07	0.09			0.11				0.43	0																																																																																																																																																								
102272	102272	125.2		17.2	4.43	12.53	39.97			0.024		3.73	0.29		50.16	4.09	20.2	0.067	0.16			0.08599		0.171	102.63999	0.537	0																																																																																																																																																								
102273	102273	127.25		20.37	4.095	11.46	36.61			0.027		3.6	0.55		44.6	3.76	21.93	0.07	0.15			0.06114		0.246	102.03714	0.496	0																																																																																																																																																								
59817	OM4-316	127.9	128	11.4	5.19	12.13	44.69					4.43				3.81	17.3	0.06	0.13			0.05				0.64	0																																																																																																																																																								
102274	102274	129.1		11.745	4.915	13.55	44			0.026		4.43	0.47		60.52	4.66	15.82	0.063	0.18			0.03511		0.199	100.03211	0.624	0																																																																																																																																																								
59816	OM4-315	133.39	133.49	17.23	3.77	10.48	39.03					3.82				3.41	21.3	0.07	0.11			0.06				0.55	0																																																																																																																																																								
102275	102275	135.9		2.575	3.555	16.65	55			0.029		5.06	0.68		78.94	6.03	7.05	0.037	0.19			0.0309		0.143	97.1419	0.854	0																																																																																																																																																								
59815	OM4-314	138.53	138.7	8.54	4.52	13.18	49.21					4.95				4.19	14.3	0.05	0.13			0.06				0.69	0																																																																																																																																																								
102276	102276	139.8		23.065	3.815	10.42	33.63			0.02	2355	3.36	0.58	2773	43.14	3.56	23.37	0.068	0.13		2870	0.03504	15.07	0.121	101.70604	0.453	0																																																																																																																																																								
