ID	sample_number	depth	depth_to	Ancyrochitina aff. convexa	Ancyrochitina ancyrea + primitiva	Ancyrochitina ansarviensis	Ancyrochitina mullinsi	Ancyrochitina porrectaspina	Ancyrochitina rumbaensis	Ancyrochitina sp.	Ancyrochitina vikiensis	Angochitina longicollis	"Atraktoprion ""minutus"""	Atraktoprion aff. mirabilis	Atraktoprion sp.	Atraktoprion sp. (non 1)	Atraktoprion sp. 1	Atraktoprion sp. 2 aff. major	Belonechitina oeselensis	Bursachitina nana	Bursachitina nestorae	Bursachitina sp. 1 sensu Mullins	Calpichitina densa	Conochitina accuminata	Conochitina aff. tuba	Conochitina cf. leptosoma	Conochitina claviformis	Conochitina edjelensis	Conochitina electa	Conochitina elongata	Conochitina emmastensis	Conochitina flamma	Conochitina leptosoma	Conochitina mamilla	Conochitina praeprobocifera ?	Conochitina probocifera	Conochitina visbyensis	Dubichaetaspis bergmani	Eisenackitina causiata	Eisenackitina dolioliformis	Eisenackitina inanulifera	Euryprion	Hadimopanella? coronata Van den Boogaard, 1989	Kalloprion kilmisteri	Kalloprion sp.	Kalloprion/Oenonites	Kettnerites cf. sisyphi	Kettnerites sp.	Kozlowskiprion	Kozlowskiprion? sp. n.	Labidognatha X	Lanceolatites gracilis	Leptoprion	Leptoprion/Kalloprion	Luhaprion	Lunoprionella	"Lunoprionella ""lunaris"""	määramatud	Margachitina margaritana	"Mochtyella ""minutidentata"""	"Mochtyella ""monodentata"""	Mochtyella aff. polonica	Mochtyella cf. duplicidentata	Mochtyella cf. trapezoidea	Mochtyella ex gr. fragilis	Mochtyella sp. 3	Mochtyella sp. 5	Mochtyellidae indet.	Mochtyellidae sp. X	"Oenonites ""stillapennatus"""	"Oenonites cf. ""multidentatus"""	"Oenonites cf. ""stillapennatus"""	Oenonites cf. jennyensis	Oenonites cf. varsoviensis	Oenonites cf. wyszogrodensis	Oenonites eichwaldi	Oenonites jennyensis	Oenonites latus	Oenonites olavi	Oenonites sp.	Oenonites sp. 1	Oenonites sp. 2	Oenonites sp. 4	Oenonites sp. inverted cf. Pteropelta	Oenonites sp. n?	Pistoprion	Placognatha x	Plectochitina pachyderma	Prionognatha x	Protarabellites / Ramphoprion	Protarabellites staufferi	Pteropelta?	Rakvereprion?	Ramochitina angusta	Ramochitina ruhnuensis	Ramphoprion sp. n?	Rhytiprion magnus	"scol ""vaalahammas"""	Skalenoprion bugensis	Skalenoprion sp. 2	"Tetraprion ""siluricus"""	"Tetraprion ""siluricus""?"	Tetraprion cf. pozaryskae	Tretoprion	Valgaprion	Vistulella	"Xanioprion ""siluricus"""	Xanioprion borealis?	Xanioprionidae sp. aff. A
59824	OM4-323	112.78	112.89	0	31	0	0	0	0	0	0	18	0	0	1	0	1	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	2	0	3	0	0	0	2	0	0	8	3	0	0	0	0	0	0	0	0	0	1	0	1	0	0	4	3	5	0	1	0	0	1	4	0	0	3	0	0	4	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	4	0	0	10	6
59823	OM4-322	113.78	113.88	0	327	0	0	0	0	0	0	59	6	0	0	0	1	0	4	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	3	3	0	0	0	1	0	0	0	0	0	0	0	17	0	0	9	0	4	0	0	0	0	0	0	0	0	0	0	0	3	0	136	0	3	0	0	1	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	9	0	0	5	4
59822	OM4-321	114.60	114.86	0	67	0	0	0	0	0	0	198	11	0	0	0	0	0	0	0	0	0	10	8	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	4	0	0	0	0	0	0	0	0	0	0	0	0	8	0	2	6	4	2	6	7	0	0	0	0	0	0	0	0	1	1	0	74	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	2	0	0	5	2
59821	OM4-320	115.95	116.04	0	168	0	0	0	0	0	0	29	16	0	0	0	0	0	0	0	0	0	9	3	0	0	0	0	0	0	0	2	0	0	0	4	0	0	5	0	21	1	0	0	3	0	1	2	3	0	0	0	0	0	0	0	0	0	0	1	21	0	0	5	5	5	12	0	0	0	1	0	0	0	0	0	7	4	0	102	0	1	0	2	0	2	1	0	1	0	0	0	0	0	0	0	0	1	1	0	2	0	0	0	2	0	0	4	0
59820	OM4-319	117.92	118.05	0	6	0	0	0	0	0	0	35	12	0	0	0	1	0	0	1	0	0	1	36	0	0	0	0	0	0	0	29	5	0	0	16	0	0	6	0	19	1	0	0	3	0	2	1	2	0	0	0	0	0	0	0	0	0	0	0	19	0	4	2	3	2	10	1	0	0	0	0	0	0	0	0	3	0	0	79	0	2	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	5	0	0	7	2
59819	OM4-318	119.95	120.06	0	319	0	0	0	0	0	0	2	3	0	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	15	0	0	29	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	14	0	0	4	2	7	6	0	0	0	2	0	0	1	0	0	0	3	0	82	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	5	0	0	1	4
59818	OM4-317	123.70	123.80	0	123	0	0	0	0	0	0	4	4	0	0	0	5	8	0	2	0	0	11	15	0	0	0	0	0	0	0	0	0	0	0	32	11	0	3	0	0	1	0	0	2	0	0	15	0	0	0	0	5	0	0	4	0	0	0	0	14	0	1	4	8	9	0	4	0	0	2	0	1	2	1	0	0	0	0	35	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	7	0	0	1	0
59817	OM4-316	127.90	128.00	0	63	0	1	0	0	0	0	12	10	0	0	0	0	0	0	0	0	0	25	14	0	0	0	0	0	0	0	0	0	0	0	7	47	0	0	0	0	0	0	0	1	0	2	9	0	0	0	0	1	0	0	0	1	0	0	0	11	0	0	0	3	11	0	0	0	0	0	2	0	2	0	0	0	2	0	52	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	1	0	0	2	0
59816	OM4-315	133.39	133.49	0	73	0	0	0	0	0	0	46	6	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	3	9	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	3	0	0	4	0	12	0	4	0	0	2	14	0	0	0	0	0	0	0	66	1	2	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	2	0	0	1	0
59815	OM4-314	138.53	138.70	0	320	0	0	1	0	0	0	2	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	1	0	0	0	0	0	0	26	0	0	0	0	7	0	0	0	0	0	0	0	2	0	3	6	4	16	0	5	0	0	1	2	0	4	0	0	0	5	0	76	5	0	0	0	0	0	0	0	0	0	0	0	0	5	14	0	0	0	10	0	0	0	0	0	1	0	0	1	0
59814	OM4-313	143.66	143.75	0	333	15	0	71	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	1	0	0	0	0	0	0	0	1	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	14	0	5	0	0	0	0	0	5	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
59813	OM4-312	149.14	149.27	0	313	2	0	0	0	0	4	8	0	0	0	0	0	0	0	0	0	0	45	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	8	12	25	0	0	0	1	0	2	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	26	0	0	0	0	4	0	0	13	0	0	0	1	0	102	19	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	2	0	7	0	2	0	0	0	1	0	0	1	0
